date,hi_max,hi_max.90perc,total_precipitation,rainy_day
2022-05-01,62,75.2,1.1,0
2022-05-02,57,76.82,3.4,0
2022-05-03,58,75.2,0,0
2022-05-04,61,78.44,6.4,0
2022-05-05,68,75.2,0,0
2022-05-06,59,75.02,20.4,0
2022-05-07,51,73.4,18.5,0
2022-05-08,56,71.6,1.7,0
2022-05-09,66,75.02,0,0
2022-05-10,68,76.64,0,0
2022-05-11,69,80.24,0,0
2022-05-12,70,82.04,0,0
2022-05-13,69,76.82,0.2,0
2022-05-14,70,71.6,7.9,0
2022-05-15,73,78.8,0.6,0
2022-05-16,74,78.62,6.7,0
2022-05-17,74,80.6,0,0
2022-05-18,69,78.8,0,0
2022-05-19,67,78.62,14.1,0
2022-05-20,69,80.42,2.2,0
2022-05-21,86,78.8,0,0
2022-05-22,87,80.6,0.3,0
2022-05-23,71,82.04,0,0
2022-05-24,65,80.6,0,0
2022-05-25,68,82.4,0,0
2022-05-26,69,82.4,0.2,0
2022-05-27,77,82.4,7.6,0
2022-05-28,73,82.4,5.6,0
2022-05-29,76,85.82,0,0
2022-05-30,85,85.82,0,0
2022-05-31,91,85.82,0,0
2022-06-01,67,86,0,0
2022-06-02,81,84.2,8.9,0
2022-06-03,77,80.6,1.9,0
2022-06-04,80,80.6,0,0
2022-06-05,75,82.4,0,0
2022-06-06,79,82.4,0,0
2022-06-07,77,86,1.2,0
2022-06-08,81,87.8,0.6,0
2022-06-09,82,86,14.4,0
2022-06-10,77,86,0,0
2022-06-11,75,86,0.7,0
2022-06-12,74,84.2,4.5,0
2022-06-13,86,84.2,0.5,0
2022-06-14,82,86,0,0
2022-06-15,78,87.62,0,0
2022-06-16,73,85.82,1.1,0
2022-06-17,90,84.2,0.1,0
2022-06-18,71,86,0,0
2022-06-19,71,86,0,0
2022-06-20,77,87.62,0,0
2022-06-21,78,87.8,0,0
2022-06-22,68,86,2,0
2022-06-23,73,85.82,0.5,0
2022-06-24,81,85.82,0.1,0
2022-06-25,89,87.8,0,0
2022-06-26,88,87.8,0,0
2022-06-27,81,89.6,8.2,0
2022-06-28,79,89.6,0,0
2022-06-29,82,89.42,0,0
2022-06-30,84,89.24,0,0
2022-07-01,92,85.82,0,0
2022-07-02,92,87.8,5.7,0
2022-07-03,85,87.8,0,0
2022-07-04,84,91.4,0,0
2022-07-05,84,89.6,3.9,0
2022-07-06,86,91.22,0,0
2022-07-07,81,91.4,0.4,0
2022-07-08,86,89.6,0.6,0
2022-07-09,82,89.6,0,0
2022-07-10,80,87.8,0,0
2022-07-11,83,89.6,0,0
2022-07-12,92,89.42,0.7,0
2022-07-13,90,89.42,0,0
2022-07-14,88,89.42,0.1,0
2022-07-15,83,89.6,0,0
2022-07-16,84,91.4,1.3,0
2022-07-17,87,93.2,8.6,0
2022-07-18,90,93.2,10.8,0
2022-07-19,93,91.4,0,0
2022-07-20,99,91.4,0,0
2022-07-21,101,91.4,5.5,0
2022-07-22,94,89.6,0,0
2022-07-23,95,87.8,0,0
2022-07-24,97,89.6,0.1,0
2022-07-25,95,89.6,4.1,0
2022-07-26,83,89.6,0,0
2022-07-27,85,89.6,0,0
2022-07-28,95,87.8,3.5,0
2022-07-29,88,89.6,0,0
2022-07-30,86,89.6,0,0
2022-07-31,85,87.8,0.1,0
2022-08-01,78,89.42,8.6,0
2022-08-02,93,89.6,0,0
2022-08-03,89,89.6,0,0
2022-08-04,96,89.6,0,0
2022-08-05,95,89.6,0.4,0
2022-08-06,96,87.8,0.8,0
2022-08-07,99,89.42,3,0
2022-08-08,101,89.6,0.1,0
2022-08-09,104,89.42,0.5,0
2022-08-10,88,87.8,0,0
2022-08-11,89,87.8,0.4,0
2022-08-12,82,89.6,0,0
2022-08-13,80,91.04,0,0
2022-08-14,80,91.22,0,0
2022-08-15,80,87.8,0.2,0
2022-08-16,81,87.8,0,0
2022-08-17,78,87.8,0.2,0
2022-08-18,84,87.62,0,0
2022-08-19,86,86,0,0
2022-08-20,88,86,1.2,0
2022-08-21,83,86,0,0
2022-08-22,82,85.82,10.8,0
2022-08-23,86,84.02,6.3,0
2022-08-24,89,84.2,0,0
2022-08-25,88,86,0,0
2022-08-26,92,87.62,4.6,0
2022-08-27,88,89.42,0,0
2022-08-28,83,86,2.8,0
2022-08-29,91,86,0.4,0
2022-08-30,93,86,3.4,0
2022-08-31,84,86,0,0
2022-09-01,83,84.2,0,0
2022-09-02,76,85.82,0,0
2022-09-03,81,85.82,0,0
2022-09-04,89,85.82,0.7,0
2022-09-05,87,82.4,3.4,0
2022-09-06,75,87.44,21.9,0
2022-09-07,73,84.2,2.6,0
2022-09-08,78,82.4,0.1,0
2022-09-09,78,84.02,0,0
2022-09-10,82,84.02,0,0
2022-09-11,75,84.2,14.5,0
2022-09-12,85,82.4,2.2,0
2022-09-13,85,82.4,15.4,0
2022-09-14,81,84.02,0,0
2022-09-15,73,80.6,0,0
2022-09-16,75,80.6,0,0
2022-09-17,74,82.04,0,0
2022-09-18,83,82.22,0,0
2022-09-19,83,80.42,0.4,0
2022-09-20,77,80.42,0,0
2022-09-21,78,80.6,0,0
2022-09-22,76,82.22,12.5,0
2022-09-23,62,80.6,0,0
2022-09-24,68,78.62,0,0
2022-09-25,70,78.44,2.5,0
2022-09-26,72,78.8,0,0
2022-09-27,68,78.8,0,0
2022-09-28,68,75.2,0,0
2022-09-29,64,75.2,0,0
2022-09-30,61,73.22,0.9,0
