date,hour_timestamp,start_hour,daily_hi_max,daily_total_precip,hourly_hi,hourly_precip,rainy_day,HI_t-1,HI_t+1,precip_t-1,precip_t+1
2023-05-01,2023-05-01 03:00:00,3,58,0.3,50,0,0,,49,,0
2023-05-01,2023-05-01 04:00:00,4,58,0.3,49,0,0,50,48,0,0
2023-05-01,2023-05-01 05:00:00,5,58,0.3,48,0,0,49,49,0,0
2023-05-01,2023-05-01 06:00:00,6,58,0.3,49,0,0,48,50,0,0
2023-05-01,2023-05-01 07:00:00,7,58,0.3,50,0,0,49,52,0,0
2023-05-01,2023-05-01 08:00:00,8,58,0.3,52,0,0,50,53,0,0
2023-05-01,2023-05-01 09:00:00,9,58,0.3,53,0,0,52,56,0,0.1
2023-05-01,2023-05-01 10:00:00,10,58,0.3,56,0.1,0,53,56,0,0
2023-05-01,2023-05-01 11:00:00,11,58,0.3,56,0,0,56,56,0.1,0.1
2023-05-01,2023-05-01 12:00:00,12,58,0.3,56,0.1,0,56,56,0,0
2023-05-01,2023-05-01 13:00:00,13,58,0.3,56,0,0,56,57,0.1,0
2023-05-01,2023-05-01 14:00:00,14,58,0.3,57,0,0,56,57,0,0
2023-05-01,2023-05-01 15:00:00,15,58,0.3,57,0,0,57,58,0,0
2023-05-01,2023-05-01 16:00:00,16,58,0.3,58,0,0,57,57,0,0.1
2023-05-01,2023-05-01 17:00:00,17,58,0.3,57,0.1,0,58,56,0,0
2023-05-01,2023-05-01 18:00:00,18,58,0.3,56,0,0,57,55,0.1,0
2023-05-01,2023-05-01 19:00:00,19,58,0.3,55,0,0,56,54,0,0
2023-05-01,2023-05-01 20:00:00,20,58,0.3,54,0,0,55,53,0,0
2023-05-01,2023-05-01 21:00:00,21,58,0.3,53,0,0,54,51,0,0
2023-05-01,2023-05-01 22:00:00,22,58,0.3,51,0,0,53,51,0,0
2023-05-01,2023-05-01 23:00:00,23,58,0.3,51,0,0,51,48,0,0
2023-05-02,2023-05-02 03:00:00,3,52,3.3,48,0,0,51,46,0,0
